movie_ID,Job,Name
404733, Director, Antonio Negret
9387, Director, John Milius
87101, Characters, Gale Anne Hurd
15651, Executive In Charge Of Post Production, Chris Dobbs
10012, Casting, Sarah Katzman
139933, Sound Designer, Frank Gaeta
4970, Screenplay, Sebastian Gutierrez
103, Producer, Julia Phillips
9426, Screenplay, Charles Edward Pogue
8961, Casting, Suzanne Smith
76341, Director, George Miller
318846, Screenplay, Adam McKay
341006, Director, Greg McLean
63112, Music, Daniele Patucchi
35122, Second Film Editor, Tatiana S. Riegel
9268, Screenplay, Tony Puryear
284289, Director of Photography, Russell Carpenter
18, Director, Luc Besson
338, Producer, Stefan Arndt
16871, Costume Design, Isis Mussenden
173897, Producer, Paul W.S. Anderson
368031, Screenplay, Simon Verhoeven
, Director, Martin Scorsese
16617, Co-Executive Producer, Bob Weinstein
47327, Producer, Michael De Luca
300673, Screenplay, Scott Silver
194662, Director, Alejandro González Iñárritu
55534, Editor, Colin Green
402298, Costume Design, Odile Dicks-Mireaux
393457, Director of Photography, Charlotte Bruus Christensen
2321, Casting, Howard Feuer
416477, Original Music Composer, Michael Andrews
1541, Screenplay, Callie Khouri
13154, Screenplay, Stephen Glantz
10796, Casting, John Papsidera
72545, Director of Photography, David Tattersall
291356, Director, Ti West
10191, Producer, Bonnie Arnold
10715, Director of Photography, Dean Cundey
17337, Casting, Susan Blu
35, Screenplay, Matt Groening
9297, Producer, Steve Starkey
381034, Executive Producer, Rory Gilmartin
10315, Director, Wes Anderson
13053, Layout, Mark Henley
2062, Executive Producer, John Lasseter
8392, Director, Hayao Miyazaki
14836, Screenplay, Neil Gaiman
44912, Original Music Composer, James Newton Howard
51162, Supervising Animator, Bruce W. Smith
10009, Director, Robert Walker
15947, Music Director, Charles Wolcott
214756, Editor, Jeff Freeman
12, Director, Andrew Stanton
15166, Production Design, Brian Ollman
7443, Casting, Patsy Pollock
9473, Associate Producer, Mark Roybal
128, Director, Hayao Miyazaki
72105, Editor, Jeff Freeman
10470, Screenplay, Rötger Feldmann
533, Director, Nick Park
77174, Production Design, Nelson Lowry
49948, Music, Ludwig van Beethoven
378236, Casting, Mary Hidalgo
149870, Director, Hayao Miyazaki
9496, Screenplay, Andi Feldmann
12593, Director, Ralph Bakshi
170687, Casting, Mary Hidalgo
98566, Producer, Michael Bay
10539, Novel, Roald Dahl
16306, Novel, Stefan Wul
41201, Director, Sylvain Chomet
291270, Director, Charlie Kaufman
3170, Orchestrator, Paul J. Smith
10895, Director, Ben Sharpsteen
223046, Writer, Maurice Sendak
49013, Original Story, John Lasseter
10380, Director, Simon Wells
230179, Casting, Silke Koch
257344, Screenplay, Tim Herlihy
43074, Characters, Dan Aykroyd
75258, Color Timer, Jim Passon
21724, Casting, Sarah Katzman
238713, Producer, Peter Chernin
120467, Casting, Jina Jay
73686, Property Master, Ulli Isfort
9331, Director of Photography, Donald McAlpine
77084, Producer, Spike Lee
38843, Producer, Denise Di Novi
71668, Writer, Patrick Melton
49047, Director of Photography, Emmanuel Lubezki
19101, Second Unit Cinematographer, Charles Minsky
497, Supervising Sound Editor, Mark A. Mangini
45864, Visual Effects, Christopher Dusendschon
38753, Screenplay, Mitch Glazer
24617, Casting, Susan Glickman
8373, Executive Producer, Steven Spielberg
773, Producer, Peter Saraf
182, Casting, Debra Zane
292280, Casting, Anne McCarthy
152747, Supervising Sound Editor, Steve Boeddeker
1073, Casting, Ellen Chenoweth
277, Producer, Tom Rosenberg
17578, Casting, Jina Jay
346672, Producer, Len Wiseman
38408, Executive Producer, Bruce Berman
10782, Sound Effects Editor, Harry Cohen
302026, Writer, Mamoru Oshii
34016, Supervising Sound Effects Editor, Michael Payne
227679, Producer, Kenichi Arai
72197, Art Department Manager, Carlos Grangel
3179, Author, Mike Judge
314, Editor, Sylvie Landra
8880, Sound Effects Editor, Mark A. Mangini
9846, Makeup Artist, Jeff Dawn
10345, Producer, Lawrence Gordon
127380, Director, Andrew Stanton
100241, Director, Stuart Beattie
157350, Casting, Mary Vernieu
13804, Sound Designer, Harry Cohen
27579, Music, Herbert Grönemeyer
293167, Original Story, Edgar Wallace
396398, Producer, Scott Rudin
672, Director of Photography, Roger Pratt
36557, Screenplay, Paul Haggis
154972, Screenplay, Ate de Jong
310131, Original Music Composer, Mark Korven
11665, Production Design, Wynn Thomas
10190, Screenplay, Alan Ball
8883, Director of Photography, Jørgen Johansson
2289, Editor, Walter Murch
408, Producer, Walt Disney
62835, Producer, Luc Besson
240, Producer, Francis Ford Coppola
9381, Screenplay, Mathieu Kassovitz
335988, Writer, Steven S. DeKnight
1995, Producer, Colin Wilson
228165, Director, Paul Tibbitt
398818, Screenplay, James Ivory
37430, Costume Design, Wendy Partridge
62630, Costume Design, Anna B. Sheppard
287424, Writer, John Scott 3
188927, Characters, Gene Roddenberry
10483, Director, Paul W.S. Anderson
64215, Screenplay, Sopana Chaowwiwatkul
157336, Art Direction, Eggert Ketilsson
54138, Producer, Bryan Burk
158852, Editor, Walter Murch
190955, Screenplay, Guillaume Canet
12165, Editor, Craig Wood
287084, Production Supervisor, Jason Blum
10057, Screenplay, David Loughery
13155, Executive Producer, Gary Kurtz
11059, Screenplay, Dave Parker
634, Casting, Michelle Guish
9092, Costume Design, Charles Knode
5176, Producer, Cathy Konrad
1878, Producer, Patrick Cassavetti
9613, Producer, Catherine Bailey
140607, Producer, Bryan Burk
12547, Casting, Shaila Rubin
11860, Screenplay, Barbara Benedek
666, Assistant Director, Kátia Lund
1891, Executive Producer, George Lucas
9008, Screenplay, Michael Mann
313369, Writer, Damien Chazelle
938, Screenplay, Sergio Leone
33, Producer, Clint Eastwood
9654, Director of Photography, Wally Pfister
618, Novel, Thomas F. Dixon Jr.
68818, Director, Mateo Gil
152584, Screenplay, Abdellatif Kechiche
63849, Thanks, Luggi Waldleitner
13168, Producer, Steve Golin
55562, Thanks, Hanns Eckelkamp
41225, Director, Louis Malle
278774, Novel, Leslie Margolis
