movie_ID,Job,Name
404733, Director of Photography, Laurent Barès
9387, Conductor, Basil Poledouris
87101, Art Direction, Greg Papalia
15651, Director, Daniel G. Karslake 
10012, Director, Wes Craven
139933, Associate Producer, Athena Currey
4970, Director of Photography, Matthew Libatique
103, Editor, Melvin Shapiro
9426, Casting, Deidre Bowen
8961, Original Music Composer, Trevor Rabin
76341, Compositors, Chris OConnell
318846, Original Music Composer, Nicholas Britell
341006, Casting, Marisol Roncali
63112, Director, Paolo Cavara
35122, Art Direction, Chris Davis
9268, Original Music Composer, Alan Silvestri
284289, Casting, Carmen Cuba
18, Associate Producer, John A. Amicarella
338, Director, Wolfgang Becker
16871, Co-Producer, Ivan Raimi
173897, Producer, Samuel Hadida
368031, Casting, Tannis Vallely
, Editor, Thelma Schoonmaker
16617, Sound Designer, Jon Olive
47327, Executive Producer, Avi Lerner
300673, Supervising Art Director, William Ladd Skinner
194662, Producer, Arnon Milchan
55534, Visual Effects Producer, Stephen Elson
402298, Casting, Dixie Chassay
393457, Editor, Hughes Winborne
2321, Producer, Kenneth Utt
416477, Post Production Supervisor, Michael Jackman
1541, Casting, Louis DiGiaimo
13154, Director of Photography, Mark Irwin
10796, Set Decoration, Jan K. Bergstrom
72545, Editor, David Rennie
291356, Producer, Ti West
10191, Supervising Sound Editor, Randy Thom
10715, Producer, Paula Weinstein
17337, Director, Charles Grosvenor
35, Editor, John Carnochan
9297, Art Direction, Greg Papalia
381034, Producer, Nick Ryan
10315, Animation, Tobias Fouracre
13053, Sound Designer, Randy Thom
2062, Animation, Jason Deamer
8392, Original Music Composer, Joe Hisaishi
14836, Director, Henry Selick
44912, Director, Martin Campbell
51162, Visual Development, Andreas Deja
10009, Screenplay, Tab Murphy
15947, Story, Bill Peed
214756, Characters, Seth MacFarlane
12, Screenplay, David Reynolds
15166, Unit Production Manager, Cherelle George
7443, Additional Dialogue, Mark Burton
9473, Producer, Matt Stone
128, Editor, Takeshi Seyama
72105, Story, Seth MacFarlane
10470, Editor, Sascha Wolff
533, Screenplay, Bob Baker
77174, Director, Chris Butler
49948, Editor, Lois Freeman-Fox
378236, Storyboard Designer, David Feiss
149870, Executive Producer, Kôji Hoshino
9496, Story, Rötger Feldmann
12593, Director of Photography, Gene Borghi
170687, Animation Supervisor, Brad Schiff
98566, Writer, Josh Appelbaum
10539, Executive Producer, Jake Eberts
16306, Original Music Composer, Alain Goraguer
41201, Animation, Greg Manwaring
291270, Director of Photography, Joe Passarelli
3170, Director, William Roberts
10895, Adaptation, Joseph Sabo
223046, Camera Operator, William Goshgarian
49013, Supervising Animator, Shawn Krause
10380, Producer, Steven Spielberg
230179, Director of Photography, Mika Orasmaa
257344, Executive Producer, Barry Bernardi
43074, Art Direction, Audra Avery
75258, Producer, Makul Wigert
21724, Special Effects Supervisor, Lou Carlucci
238713, Executive Producer, John J. Kelly
120467, Director, Wes Anderson
73686, Producer, Leander Carell
9331, Casting, Mindy Marin
77084, Co-Producer, Callum Greene
38843, Stunt Coordinator, Garvin Cross
71668, Editor, Kirk M. Morri
49047, Producer, David Heyman
19101, Executive Producer, Barry Levinson
497, Director, Frank Darabont
45864, Cinematography, Michael G. Wojciechowski
38753, Editor, Billy Weber
24617, Editor, Allan Lee
8373, Producer, Ian Bryce
773, Writer, Michael Arndt
182, Novel, Joseph Kanon
292280, Casting, Lillian Pyles
152747, Foley, Andy Malcolm
1073, Screenplay, Ehren Kruger
277, Executive Producer, James McQuaide
17578, Casting, Victoria Burrows
346672, Executive Producer, Skip Williamson
38408, Producer, Paul Brooks
10782, Production Design, Dennis Bradford
302026, Producer, Lyse Lafontaine
34016, Producer, Jimmy Miller
227679, Producer, Ryou Sasaki
72197, Animation, Michael Schlingmann
3179, Line Producer, Winnie Chaffee
314, Characters, Bob Kane
8880, Director, Steven Soderbergh
9846, Director, William Friedkin
10345, Editor, Lois Freeman-Fox
127380, Director of Photography, Jeremy Lasky
100241, Novel, Kevin Grevioux
157350, Producer, Lucy Fisher
13804, Production Design, Ida Random
27579, Screenplay, Rowan Joffe
293167, Editor, Richard Pearson
396398, Original Music Composer, Randy Newman
672, Executive Producer, Chris Columbus
36557, Art Direction, Peter Francis
154972, Production Design, Hubert Pouille
310131, Writer, Robert Eggers
11665, Set Decoration, Paul Hotte
10190, Director of Photography, Newton Thomas Sigel
8883, Producer, Charlie Woebcken
2289, Director, Anthony Minghella
408, Screenplay, Dick Rickard
62835, Executive Producer, Ariel Zeitoun
240, Director of Photography, Gordon Willis
9381, Art Direction, Olivier Raoux
335988, Writer, Jeff Pinkner
1995, Producer, Lloyd Levin
228165, Layout, Clint Bond Jr.
398818, Producer, Peter Spears
37430, Original Music Composer, Tyler Bates
62630, Makeup Artist, Lesley Smith
287424, Producer, Joey Tufaro
188927, Music, Michael Giacchino
10483, Producer, Roger Corman
64215, Makeup Artist, Thanawutthi Busamsai
157336, Director, Christopher Nolan
54138, Production Design, Scott Chambliss
158852, Stunt Coordinator, Joey Box
190955, Producer, Hugo Sélignac
12165, Production Design, Dan Leigh
287084, Editor, Joe Leonard
10057, Sound Designer, Richard C. Franklin
13155, Casting, Marci Liroff
11059, Executive Producer, Daniel S. Kletzky
634, Executive Producer, Helen Fielding
9092, Production Design, Gemma Jackson
5176, Music, Marco Beltrami
1878, Casting, Margery Simkin
9613, Original Music Composer, Howard Shore
140607, Characters, George Lucas
12547, Casting, Donald Paul Pemrick
11860, Production Design, Brian Morris
666, Original Music Composer, Antonio Pinto
1891, Director of Photography, Peter Suschitzky
9008, Director of Photography, Dante Spinotti
313369, Sound mixer, Steven Morrow
938, Special Effects, Eros Bacciucchi
33, Production Design, Henry Bumstead
9654, Assistant Art Director, Jon Billington
618, Original Music Composer, Jon Mirsalis
68818, Production Design, Juan Pedro De Gaspar
152584, Producer, Brahim Chioua
63849, Producer, Annie Brunner
13168, Executive Producer, Thomas Becker
55562, Assistant Director, Eva Ebner
41225, Adaptation, Clement Biddle Wood
278774, Art Direction, Cherie Kroll
40807, Executive Producer, Nathan Kahane
11970, Director, Ron Clements
