movie_ID,Job,Name
404733, Editor, Samuel Danési
9387, Costume Design, John Bloomfield
87101, Stunt Coordinator, Joel Kramer
15651, Producer, Daniel G. Karslake 
10012, Set Decoration, Douglas A. Mowat
139933, Director, Xan Cassavetes
4970, Editor, Yannick Kergoat
103, Sound Re-Recording Mixer, Rick Alexander
9426, Costume Design, Denise Cronenberg
8961, Editor, Mark Goldblatt
76341, Writer, Brendan McCarthy
318846, Casting, Francine Maisler
341006, Casting, Mary Vernieu
63112, Story, Paolo Cavara
35122, Additional Photography, Morgan Susser
9268, Director of Photography, Adam Greenberg
284289, Original Music Composer, Dickon Hinchliffe
18, Sound Designer, Mark A. Mangini
338, Screenplay, Bernd Lichtenberg
16871, Original Music Composer, Christopher Young
173897, Director of Photography, Glen MacPherson
368031, Producer, Quirin Berg
, Stunts, Martin Klebba
16617, Screenplay, Kevin Brodbin
47327, Production Design, Nathan Amondson
300673, Supervising Sound Editor, Mark P. Stoeckinger
194662, Director of Photography, Emmanuel Lubezki
55534, Director of Photography, Jon Joffin
402298, Book, Deborah Lipstadt
393457, Casting, Victoria Thomas
2321, Director of Photography, Tak Fujimoto
416477, Producer, Judd Apatow
1541, Production Design, Norris Spencer
13154, Editor, Michael Eliot
10796, Producer, Steve Chasman
72545, Sound Designer, Randy Thom
291356, Production Design, Jade Healy
10191, Sound Re-Recording Mixer, Randy Thom
10715, Casting, Mary Gail Artz
17337, Producer, Charles Grosvenor
35, Screenplay, Jon Vitti
9297, Costume Design, Ruth Myers
381034, Director, Billy OBrien
10315, Post Production Supervisor, Jeannine Berger
13053, Sound Re-Recording Mixer, Randy Thom
2062, Production Artist, Randy Berrett
8392, Editor, Takeshi Seyama
14836, Producer, Henry Selick
44912, Casting, Pam Dixon
51162, Layout, Robert St. Pierre
10009, Screenplay, Lorne Cameron
15947, Animation, Frank Thomas
214756, Writer, Seth MacFarlane
12, Executive Producer, John Lasseter
15166, Producer, Keith Collea
7443, Original Music Composer, John Powell
9473, Writer, Matt Stone
128, Executive Producer, Yasuyoshi Tokuma
72105, Production Design, Stephen J. Lineweaver
10470, Director of Photography, Graham Tiernan
533, Screenplay, Mark Burton
