movie_ID,Job,Name
404733, Production Design, Arnaud Le Roch
9387, Producer, Buzz Feitshans
87101, Sound Re-Recording Mixer, Greg P. Russell
15651, Sound Re-Recording Mixer, Jim Cushinery
10012, Color Timer, Jim Passon
139933, Production Design, Chris Trujillo
4970, Costume Design, Kym Barrett
103, Sound Effects Editor, David M. Horton
9426, Co-Producer, Marc Boyman
8961, Music Supervisor, Bob Badami
76341, Casting, Nikki Barrett
318846, Producer, Dede Gardner
341006, Art Department Coordinator, Camilo Osorio
63112, Makeup Artist, Otello Sisi
35122, Executive Producer, William Tyrer
9268, Writer, Michael S. Chernuchin
284289, Editor, Adam Wolfe
18, Casting, Lucinda Syson
338, Director of Photography, Martin Kukula
16871, Art Direction, James F. Truesdale
173897, Visual Effects Supervisor, Dennis Berardi
368031, Editor, Denis Bachter
, ADR & Dubbing, David Boulton
16617, Set Decoration, Eliza Solesbury
47327, Editor, Patrick Lussier
300673, Producer, James Whitaker
194662, Editor, Douglas Crise
55534, Production Design, Ken Rempel
402298, Supervising Art Director, Christina Moore
393457, Set Decoration, Rebecca Brown
2321, Hairstylist, Alan DAngerio
416477, Utility Sound, Paul Reed
1541, Still Photographer, Roland Neveu
13154, Casting, Cathy Henderson
10796, Screenplay, James Wong
72545, Casting, Lisa Mae Fincannon
291356, Art Direction, RA Arancio-Parrain
10191, Thanks, Jeremy Garelick
10715, Production Manager, Ronald G. Smith
17337, Editor, Jay Bixsen
35, Screenplay, Mike Reiss
9297, Screenplay, Pamela Pettler
381034, Casting, Colin Jones
10315, Animation, Jens Jonathan Gulliksen
13053, Orchestrator, Dave Metzger
2062, Sequence Leads, Mark Sanford
8392, Producer, Tohru Hara
14836, Animation Supervisor, Anthony Scott
44912, Executive Producer, Andrew Haas
51162, Supervising Sound Editor, Todd Toon
10009, Songs, Phil Collins
15947, Animation, John Lounsbery
214756, Art Direction, Caty Maxey
12, Supervising Sound Editor, Gary Rydstrom
15166, Editor, Carmelo Casalenuovo
7443, Storyboard, Cody Cameron
9473, Animation, Frank C. Agnone II
128, Background Designer, Noboru Yoshida
72105, Stunts, Phil Culotta
10470, Producer, Jens Nieswand
533, Producer, Peter Lord
77174, Editor, Christopher Murrie
49948, Executive Producer, Roy Edward Disney
378236, Foley, Rick Owens
149870, Art Department Manager, Katsuya Kondô
9496, Screenplay, Gerhard Hahn
12593, Animation, Larry Riley
170687, Director, Graham Annable
98566, Music, Brian Tyler
10539, Music, Randy Newman
16306, Production Manager, Václav Strnad
41201, Production Manager, Fiona Hall
291270, Costume Design, Susan Donym
3170, Conductor, Alexander Steinert
10895, Producer, Walt Disney
223046, Camera Operator, Jill Carus
49013, Thanks, Steve Jobs
10380, Background Designer, Michael Rose
230179, Original Music Composer, Miska Seppä
257344, Executive Producer, Jack Giarraputo
43074, Production Design, Jefferson Sage
75258, Sound Re-Recording Mixer, David E. Fluhr
21724, Writer, Shawn Wayans
238713, Production Design, Jefferson Sage
120467, Costume Design, Milena Canonero
73686, Makeup Artist, Janusz Kaleja
9331, Screenplay, Donald Stewart
77084, Casting, Lina Todd
38843, Music Supervisor, Julia Michels
71668, Producer, Marc Toberoff
49047, Sound Designer, Glenn Freemantle
19101, Original Music Composer, Patrick Doyle
497, Director of Photography, David Tattersall
45864, Stunt Coordinator, Phil Culotta
38753, Hair Department Head, Beatrice De Alba
24617, Director, Bill Corcoran
8373, Supervising Art Director, Jon Billington
773, Editor, Pamela Martin
182, Property Master, Robin L. Miller
292280, Visual Effects Supervisor, Jon Campfens
152747, Director of Photography, Peter Zuccarini
1073, Producer, Peter Samuelson
277, Costume Design, Wendy Partridge
17578, Novel, Hergé
346672, Co-Producer, Matthew Stillman
38408, Executive Producer, Katherine Heigl
10782, Producer, Mike Medavoy
302026, Costume Design, Dango Takeda
34016, Set Decoration, Casey Hallenbeck
227679, Editor, Toshio Henmi
72197, Executive Producer, Carla Shelley
3179, Background Designer, Michael Rose
314, Producer, Edward McDonnell
8880, Executive Producer, Vincent Maraval
9846, Novel, Gerald Petievich
10345, Sound Editor, George Simpson
127380, Producer, Lindsey Collins
100241, Visual Effects Supervisor, James McQuaide
157350, Casting, Venus Kanani
13804, Second Unit Cinematographer, Paul Hughen
27579, Producer, Grant Heslov
293167, Music Supervisor, Peter Afterman
396398, Director of Photography, Robbie Ryan
672, Art Direction, Andrew Ackland-Snow
36557, Producer, Barbara Broccoli
154972, Executive Producer, Adrian Politowski
310131, Production Design, Craig Lathrop
11665, Editor, Richard Pearson
10190, Executive Producer, Peggy Rajski
8883, Art Direction, Anja Müller
2289, Casting, David Rubin
408, Original Music Composer, Frank Churchill
62835, Director, Olivier Megaton
240, Editor, Richard Marks
9381, Foley, Nicolas Becker
335988, Producer, Steven Spielberg
1995, Casting, Sarah Finn
228165, Executive Producer, Stephen Hillenburg
398818, Executive Producer, Naima Abed
37430, Producer, Avi Lerner
62630, Director of Photography, Sam McCurdy
287424, Production Design, Gabor Norman
188927, Editor, Steven Sprung
10483, Executive Producer, Dennis E. Jones
64215, Property Master, Sunsanee Vemonsas
157336, Writer, Jonathan Nolan
54138, Executive Producer, Jeffrey Chernov
158852, Executive Producer, Bernard Bellew
190955, Art Direction, Henry Dunn
12165, Special Effects Coordinator, David Fletcher
287084, Set Decoration, Eileen Dennehy
10057, Set Decoration, Bruno Cesari
13155, Music, David Shire
11059, Editor, David M. Richardson
634, Producer, Tim Bevan
9092, Executive Producer, Robert W. Cort
5176, Makeup Artist, John Caglione Jr.
1878, Screenplay, Terry Gilliam
9613, Novel, Patrick McGrath
140607, Casting, April Webster
12547, Producer, Lewin Webb
11860, Hairstylist, Lynda Gurasich
666, Executive Producer, Thomas Garvin
1891, Editor, Marcia Lucas
9008, Production Design, Brian Morris
313369, Executive Producer, Michael Beugg
938, Producer, Alberto Grimaldi
33, Assistant Director, Tom Rooker
9654, Sound Editor, Bryan Bowen
618, Editor, Rose Smith
68818, Dolby Consultant, Jaume Puig
152584, Screenplay, Ghalia Lacroix
63849, Co-Producer, Tita Korytowski
13168, Associate Producer, Beau J. Genot
55562, Production Manager, Herbert Kerz
41225, Producer, Alberto Grimaldi
278774, Production Design, Jill Scott
40807, Producer, Evan Goldberg
11970, Original Music Composer, Alan Menken
510, Sound Editor, Pat Jackson
244267, Casting, James Calleri
79528, Executive Producer, Jim Swartz
11210, Screenplay, Christopher Lofton
220820, Production Design, F. Joseph Burns
38166, Camera Operator, Paul Mitchnick
16687, Executive In Charge Of Production, Vanessa R. Jordan
9509, Production Manager, Anna Roth
376134, Writer, Justin Lader
13639, Director of Photography, Jules van den Steenhoven
24021, Screenplay, Melissa Rosenberg
11451, Costume Supervisor, Mark Peterson
277834, Story, Don Hall
415, Foley Editor, Bob Beher
356334, Art Direction, Rachel Heacock
7364, Casting, Anne McCarthy
11774, Executive Producer, Barry Sonnenfeld
160139, Lead Painter, Luís Lacerda
1578, Producer, Irwin Winkler
102899, Comic Book, Jack Kirby
9457, Executive Producer, Barry Bernardi
107, Executive Producer, Stephen Marks
10590, Editor, William Hoy
36668, Costume Design, Judianna Makovsky
306650, Property Master, Anas Balawi
122081, Art Direction, Almitra Corey
11169, Hairstylist, Brenda McNally
13493, Casting, Gail Goldberg
8881, Casting, Eva Leira
13700, Story, Mark Kennedy
13205, Associate Producer, Dave Okey
11224, Story, Erdman Penner
16508, Storyboard, Maurice Fontenot
39433, Camera Operator, Colin Hoult
251227, Writer, Lydia Genner
9529, Set Decoration, Kathryn Peters
9644, Costume Design, Jacqueline G. Arthur
16558, Editor, John Gilroy
31546, Casting, Billy Hopkins
320, Associate Producer, Ben Cosgrove
50765, Line Producer, Brendan Garst
48613, Production Design, Davide Bassan
239566, Executive Producer, John Norris
9384, Unit Production Manager, David Siegel
12312, Editor, David Finfer
388202, Production Design, Niko Vilaivongs
1985, Producer, Thierry Potok
316021, Co-Editor, Matthew C. Hart
410988, Director, Robert Olsen
302150, Sound Re-Recording Mixer, Rob Hughes
, Associate Producer, Carlos Cuarón
272693, Editor, Wendy Greene Bricmont
