movie_ID,Job,Name
404733, Costume Design, Agnès Beziers
9387, Art Direction, Pier Luigi Basile
87101, Makeup Department Head, Lisa Love
15651, Co-Producer, Helen R. Mendoza
10012, Makeup Effects, Rick Baker
139933, Music, Steven Hufsteter
4970, Executive Producer, Gary Ungar
103, Costume Design, Ruth Morley
9426, Casting, Deirdre Bowen
8961, Art Direction, Brad Ricker
76341, Art Direction, Shira Hockman
318846, Producer, Brad Pitt
341006, Construction Coordinator, Carlos E. Sanchez
63112, Assistant Editor, Bruno Sarandrea
35122, Casting, Mary Margiotta
9268, Co-Producer, Caroline Pham
284289, Line Producer, Alton Walpole
18, Visual Effects Art Director, Ira Gilford
338, Steadicam Operator, Jörg Widmer
16871, Executive Producer, Nathan Kahane
173897, Hair Designer, Kerry Skelton
368031, Set Decoration, Melinda Launspach
, Executive Producer, Irwin Winkler
16617, Executive Producer, Nigel Sinclair
47327, Executive Producer, Trevor Short
300673, Digital Intermediate, Stefan Sonnenfeld
194662, Associate Producer, Alexander Dinelaris
55534, Art Direction, Andrew Moreau
402298, Camera Operator, Luke Redgrave
393457, Construction Coordinator, Buster Pile
2321, Writer, Barry Strugatz
416477, Executive Producer, Ben Browning
1541, Script Supervisor, Luca Kouimelis
13154, Set Decoration, Ellen Totleben
10796, Director of Photography, Robert McLachlan
72545, Set Decoration, Gary Fettis
291356, Art Department Coordinator, Vicki M. McWilliams
10191, Screenplay, Chris Sanders
10715, Screenplay, Larry Doyle
17337, Production Manager, Manuel J. García
35, Screenplay, George Meyer
9297, Casting, Scot Boland
381034, Production Design, Jennifer Klide
10315, Animation, Trey Thomas
13053, Producer, Clark Spencer
2062, Animation, Andrew Gordon
8392, Line Producer, Eiko Tanaka
14836, Animation, Guionne Leroy
44912, Screenplay, Marc Guggenheim
51162, Sound Re-Recording Mixer, David E. Fluhr
10009, Animation Manager, Matt Whitlock
15947, Conceptual Design, Mary Blair
214756, Writer, Alec Sulkin
12, Production Design, Ralph Eggleston
15166, Costume Design, Glenn Gregory Krah
7443, Producer, Peter Lord
9473, Editor, John Venzon
128, Animation, Katsuya Kondô
72105, Producer, Jason Clark
10470, Production Design, Hayo Freitag
533, Storyboard, Robert Stevenhagen
77174, Producer, Arianne Sutner
49948, Director, Pixote Hunt
378236, Character Designer, Andy Bialk
149870, Novel, Tatsuo Hori
9496, Original Music Composer, Andreas Fahnert
12593, Animation, Manuel Perez
170687, Editor, Edie Ichioka
98566, Lighting Technician, Justin Hammond
10539, Animation, Chuck Duke
16306, Animation, Jindriska Beberová
41201, Animation, Laurent Kricher
291270, Animation, Tucker Barrie
3170, Art Direction, Dick Kelsey
10895, Animation, Eric Larson
223046, Camera Operator, Lillian Fischer
49013, Sound Designer, Tom Myers
10380, Casting, Valerie McCaffrey
230179, Executive Producer, Compton Ross
257344, Executive Producer, Tim Herlihy
43074, Art Direction, Iain McFadyen
75258, Screenplay, Roberts Gannaway
21724, Art Direction, Erin Cochran
238713, Set Decoration, Kelly Berry
120467, Art Direction, Stephan O. Gessler
73686, Producer, Paul Stephens
9331, Set Decoration, Jay Hart
77084, Script Supervisor, Michael Taylor
38843, Production Design, Brent Thomas
71668, Supervising Sound Editor, Trip Brock
49047, Original Music Composer, Steven Price
19101, Sound mixer, José Antonio García
497, Music Editor, Bill Bernstein
45864, Assistant Editor, Lisa Willinger
38753, Script Supervisor, Judi Townsend
24617, Producer, Ron McGee
8373, Set Decoration, Jennifer Williams
773, Set Decoration, Melissa M. Levander
182, First Assistant Editor, David Kirchner
292280, Visual Effects Producer, Richard Chiu
152747, Editor, Pete Beaudreau
1073, Casting, Kathleen Chopin
277, Production Design, Patrick Tatopoulos
17578, Motion Capture Artist, Terry Notary
346672, Sound Re-Recording Mixer, Tony Lamberti
38408, Editor, Jim Page
10782, Executive Producer, Moritz Borman
302026, Editor, Atsuki Sato
34016, Camera Operator, John Pirozzi
227679, Assistant Director, Masakatsu Iijima
72197, Animation, Philippe Tardif
3179, Executive Producer, Nikki Vanzo
314, Executive Producer, Benjamin Melniker
8880, Executive Producer, Álvaro Augustín
9846, Executive Producer, Samuel Schulman
10345, Executive Producer, Donna Smith
127380, Foley, John Roesch
100241, Production Design, Michelle McGahey
157350, Set Designer, Marco Rubeo
13804, Producer, Vin Diesel
27579, Director, Anton Corbijn
293167, Visual Effects Coordinator, Joanie Croteau
396398, Producer, Eli Bush
672, Stunt Coordinator, Greg Powell
36557, Co-Producer, Charlie Woebcken
154972, Producer, Paul Ruven
310131, Producer, Rodrigo Teixeira
11665, Art Direction, Christopher Burian-Mohr
10190, Assistant Art Director, Jeffrey Mossa
8883, Director, Ole Christian Madsen
2289, Set Decoration, Francesca Lo Schiavo
408, Animation, James Algar
62835, Stunt Coordinator, Jay Amor
240, Casting, Mike Fenton
9381, Casting, Nancy Bishop
335988, Director, Michael Bay
1995, Costume Design, Lindy Hemming
228165, Production Supervisor, Andrew Goodman
398818, Associate Producer, Susanne Filkins
37430, Makeup Effects, Shaune Harrison
62630, Production Design, Paul Kirby
287424, Makeup Effects, Bailey Domke
188927, Casting, Miranda Davidson
10483, Line Producer, Adam Merims
64215, Executive Producer, Paiboon Damrongchaitham
157336, Costume Design, Mary Zophres
54138, Executive Producer, Paul Schwake
158852, Producer, Brad Bird
190955, Scenic Artist, Diane Andazola
12165, Set Costumer, John Deering
287084, Hairstylist, Carol Miller-White
10057, Director, Stephen Herek
13155, Director of Photography, David Watkin
11059, Co-Executive Producer, Michael Roesch
634, Director, Sharon Maguire
9092, Editor, Ian Crafford
5176, Executive Producer, Lynwood Spinks
1878, Set Designer, Lynn Christopher
9613, Art Direction, Lucy Richardson
140607, Production Design, Darren Gilford
12547, Executive Producer, Clare Bourke-Jones
11860, Costume Design, Ann Roth
666, Line Producer, Afonso Coaracy
1891, Costume Design, John Mollo
9008, Supervising Art Director, Margie Stone McShirley
313369, Executive Producer, John Legend
938, Editor, Adriana Novelli
33, Special Effects Coordinator, John Frazier
9654, Production Supervisor, Matthew J. Birch
618, Costume Design, Robert Goldstein
68818, Sound Designer, Fabiola Ordoyo
152584, Publicist, François Guerrar
63849, Director, Yasemin Samdereli
13168, Stunts, Sophia Crawford
55562, Production Manager, Ivan Wurm
41225, Music, Nino Rota
278774, Executive Producer, Jane Goldenring
40807, Set Decoration, Shane Vieau
11970, Screenplay, Irene Mecchi
510, Costume Design, Aggie Guerard Rodgers
244267, Production Design, Tania Bijlani
79528, Director of Photography, Reynaldo Zangrandi
11210, Editor, Tod Scott Brody
220820, Costume Design, Swinda Reichelt
38166, Director of Photography, Peter F. Woeste
16687, Production Manager, Daniel Auclair
9509, Color Timer, Jim Passon
376134, Key Set Costumer, Margaret Palmer
13639, Line Producer, Erwin Godschalk
24021, Casting, Sean Cossey
11451, Visual Effects Supervisor, Mat Beck
277834, Story, Jordan Kandell
415, Special Effects Coordinator, Matt Sweeney
356334, Script Supervisor, Tomas Street
7364, Co-Producer, David Barron
11774, Director, Brad Silberling
160139, Sound Designer, Rainer Heesch
1578, Producer, Robert Chartoff
102899, Screenplay, Paul Rudd
9457, Music Editor, Kenneth Hall
107, Executive Producer, Trudie Styler
10590, Costume Design, Michael T. Boyd
36668, Screenplay, Simon Kinberg
306650, Supervising Sound Editor, Nigel Holland
122081, Music Supervisor, Randall Poster
11169, Co-Producer, Joseph Merhi
13493, Executive Producer, Michael Green
