movie_ID,Job,Name
404733, Foley, Eric Grattepain
9387, Screenplay, John Milius
87101, Casting, Ronna Kress
15651, Executive In Charge Of Post Production, Darin Kuhlmann
10012, Casting, Lisa Beach
139933, Casting, Kerry Barden
4970, Director, Mathieu Kassovitz
103, Director, Martin Scorsese
9426, Director, David Cronenberg
8961, Art Direction, David Lazan
76341, Writer, Nick Lathouris
318846, Director, Adam McKay
341006, Writer, James Gunn
63112, Camera Operator, Giuseppe Lanci
35122, Production Design, Patti Podesta
9268, Director, Chuck Russell
284289, Producer, Michael Douglas
18, Screenplay, Luc Besson
338, Editor, Peter R. Adam
16871, Casting, John Papsidera
173897, Director, Paul W.S. Anderson
368031, Director, Simon Verhoeven
, Director of Photography, Rodrigo Prieto
16617, Casting, Monika Mikkelsen
47327, Sound Re-Recording Mixer, Tom Johnson
300673, Director of Photography, Javier Aguirresarobe
194662, Editor, Stephen Mirrione
55534, Music, Stephen Warbeck
402298, Director, Mick Jackson
393457, Director, Denzel Washington
2321, Costume Design, Colleen Atwood
416477, Visual Effects, Neal Jones
1541, Director, Ridley Scott
13154, Director, Mark L. Lester
10796, Sound Designer, Harry Cohen
72545, Executive Producer, Michael Bostick
291356, ADR & Dubbing, Paul Bruski
10191, Original Music Composer, John Powell
10715, Supervising Sound Editor, Mark A. Mangini
17337, Animation, Javier Gutiérrez
35, Director, David Silverman
9297, Executive Producer, Robert Zemeckis
381034, Executive Producer, Robert Jones
10315, Novel, Roald Dahl
13053, Executive Producer, John Lasseter
2062, Executive Producer, Andrew Stanton
8392, Animation, Tensai Okamura
14836, Editor, Ronald Sanders
44912, Director of Photography, Dion Beebe
51162, Director of Photography, Julio Macat
10009, Director, Aaron Blaise
15947, Music Director, Paul J. Smith
214756, Casting, Sheila Jaffe
12, Screenplay, Andrew Stanton
15166, Casting, April Webster
7443, Executive Producer, Jake Eberts
9473, Executive Producer, Scott Rudin
128, Screenplay, Hayao Miyazaki
72105, Casting, Sheila Jaffe
10470, Director, Michael Schaack
533, Screenplay, Nick Park
77174, Music, Jon Brion
49948, Producer, Donald W. Ernst
378236, Executive Producer, Ben Waisbren
149870, Screenplay, Hayao Miyazaki
9496, Director, Gerhard Hahn
12593, Screenplay, Ralph Bakshi
170687, Songs, Eric Idle
98566, Director, Jonathan Liebesman
10539, Director, Henry Selick
16306, Director, René Laloux
41201, Screenplay, Jacques Tati
291270, Director, Duke Johnson
3170, Producer, Walt Disney
10895, Director, Hamilton Luske
223046, Director, Maurice Sendak
49013, Director, John Lasseter
10380, Director, Phil Nibbelink
230179, Executive Producer, Alex Garland
257344, Director, Chris Columbus
43074, Director, Paul Feig
75258, Executive Producer, John Lasseter
21724, Casting, Lisa Beach
238713, Director, Paul Feig
120467, Set Decoration, Anna Pinnock
73686, Director, Agnieszka Holland
9331, Editor, Neil Travis
77084, Executive Producer, Danny Glover
38843, Director of Photography, John Bailey
71668, Casting, Nancy Nayor
49047, Casting, Lucinda Syson
19101, Executive Producer, Alan C. Blomquist
497, Original Music Composer, Thomas Newman
45864, Music, Klaus Badelt
38753, Director, Mitch Glazer
24617, Production Design, Kim Sinclair
8373, Casting, Denise Chamian
773, Costume Design, Nancy Steiner
182, Music, Thomas Newman
292280, Music Editor, Zigmund Gron
152747, Sound Designer, Steve Boeddeker
1073, Executive Producer, Tom Rosenberg
277, Director, Len Wiseman
17578, Original Music Composer, John Williams
346672, Producer, Tom Rosenberg
38408, Casting, John Papsidera
10782, Original Music Composer, Klaus Badelt
302026, Director, Mamoru Oshii
34016, Original Music Composer, Michael Andrews
227679, Director, Kunihiko Yuyama
72197, Music, Theodore Shapiro
3179, Director, Mike Judge
314, Director of Photography, Thierry Arbogast
8880, Casting, Suzanne Smith
9846, Director of Photography, Robby Müller
10345, Supervising Sound Editor, Richard L. Anderson
127380, Screenplay, Andrew Stanton
100241, Screenplay, Stuart Beattie
157350, Producer, Douglas Wick
13804, Supervising Art Director, David Lazan
27579, Producer, George Clooney
293167, Original Story, Merian C. Cooper
396398, Casting, Francine Maisler
672, Original Music Composer, John Williams
36557, Art Direction, Michael Lamont
154972, Sound Effects Editor, Jon Olive
310131, Co-Executive Producer, Mark Gingras
11665, Producer, Charles Roven
10190, Original Music Composer, Thomas Newman
8883, Costume Design, Manon Rasmussen
2289, Casting, Ronna Kress
408, Director, David Hand
62835, Screenplay, Luc Besson
240, Director, Francis Ford Coppola
9381, Director of Photography, Thierry Arbogast
335988, Story, Akiva Goldsman
1995, Art Direction, Jim Morahan
228165, Storyboard, Jay Oliva
398818, Director, Luca Guadagnino
37430, Producer, Henry Winterstern
62630, Casting, John Hubbard
287424, Director, Henry Hobson
188927, Producer, J.J. Abrams
10483, Screenplay, Paul W.S. Anderson
64215, Director, Sophon Sakdaphisit
157336, Art Direction, Kendelle Elliott
54138, Producer, J.J. Abrams
158852, Editor, Craig Wood
190955, Director, Guillaume Canet
12165, Casting, Debra Zane
287084, Director, Alfonso Gomez-Rejon
10057, Editor, John F. Link
13155, Thanks, George Lucas
11059, Director, Uwe Boll
634, Production Supervisor, Brian Donovan
9092, Camera Operator, Bill Coe
5176, Director, James Mangold
1878, Director, Terry Gilliam
9613, Director, David Cronenberg
140607, Director, J.J. Abrams
12547, Casting, Daniel Hubbard
11860, Director, Sydney Pollack
666, Producer, Robert Redford
1891, Editor, George Lucas
9008, Director, Michael Mann
313369, Director, Damien Chazelle
938, Original Music Composer, Ennio Morricone
33, Director, Clint Eastwood
9654, Art Direction, Doug J. Meerdink
618, Assistant Director, Erich von Stroheim
68818, Casting, Jina Jay
152584, Producer, Vincent Maraval
63849, Production Design, Alexander Manasse
13168, Casting, Monika Mikkelsen
55562, Set Decoration, Bernd Lepel
41225, Director, Federico Fellini
278774, Director, Peter DeLuise
40807, Thanks, James L. Brooks
11970, Sound Designer, Gary Rydstrom
510, Director, Miloš Forman
244267, Casting, Dilip Shankar
79528, Editor, Felipe Lacerda
11210, Executive Producer, Bob Weinstein
220820, Editor, Danny Saphire
38166, Costume Design, Tina Fiorda
16687, Executive Producer, Jackie Chan
9509, Producer, Arnon Milchan
376134, Music Supervisor, Doug Bernheim
13639, Casting, Job Gosschalk
24021, Original Music Composer, Howard Shore
11451, Art Direction, David Lazan
277834, Director, Ron Clements
