movie_ID,Job,Name
404733, Producer, Christopher Tuffin
9387, Original Music Composer, Basil Poledouris
87101, Stunt Coordinator, John Stoneham Jr.
15651, Executive Producer, Keith Lewis
10012, Original Music Composer, Marco Beltrami
139933, Co-Producer, John F. Lyons
4970, Original Music Composer, John Ottman
103, Editor, Tom Rolf
9426, Editor, Ronald Sanders
8961, Director, Michael Bay
76341, Compositors, Brian N. Bentley
318846, Book, Michael Lewis
341006, Editor, Julia Wong
63112, Camera Supervisor, Gianfranco Transunto
35122, Set Decoration, Jennifer M. Gentile
9268, Executive Producer, Michael Tadross
284289, Set Designer, Marisa Frantz
18, Post Production Supervisor, John A. Amicarella
338, Screenplay, Wolfgang Becker
16871, Writer, Ivan Raimi
173897, Original Music Composer, Paul Haslinger
368031, Production Design, Tommy Stark
, Executive Producer, Georgia Kacandes
16617, Producer, Cary Brokaw
47327, Executive Producer, Boaz Davidson
300673, Production Design, Michael Corenblith
194662, Producer, Alejandro González Iñárritu
55534, Producer, Ron McLeod
402298, Music, Howard Shore
393457, Music, Marcelo Zarvos
2321, Producer, Edward Saxon
416477, ADR Voice Casting, Bruce Winant
1541, Editor, Thom Noble
13154, Music, David Michael Frank
10796, Dialogue Editor, Stu Bernstein
72545, Costume Design, Denise Wingate
291356, Sound Designer, Graham Reznick
10191, Sound Designer, Randy Thom
10715, Set Designer, Sloane URen
17337, Characters, Judy Freudberg
35, Original Music Composer, Hans Zimmer
9297, Makeup Artist, Michèle Burke
381034, Executive Producer, Ruairi Robinson
10315, Animation Director, Mark Gustafson
13053, Layout, Neil Krepela
2062, Shading, Bryn Imagire
8392, Casting, Ned Lott
14836, Screenplay, Henry Selick
44912, Assistant Art Director, Robert Fechtman
51162, Supervising Animator, Andreas Deja
10009, Original Music Composer, Phil Collins
15947, Music Director, Edward Plumb
214756, Producer, Seth MacFarlane
12, Screenplay, Bob Peterson
15166, Writer, Pearry Reginald Teo
7443, Animation, Steve Box
9473, Writer, Trey Parker
128, Camera Supervisor, Atsushi Okui
72105, Producer, Seth MacFarlane
10470, Original Music Composer, J.P. Genkel
533, Director, Steve Box
77174, Screenplay, Chris Butler
49948, Music, George Gershwin
378236, Writer, Anthony Leondis
149870, Animation, Takeshi Imamura
9496, Comic Book, Rötger Feldmann
12593, Director of Photography, Ted C. Bemiller
170687, Screenplay, Irena Brignull
98566, Producer, Galen Walker
10539, Producer, Denise Di Novi
16306, Executive Producer, André Valio-Cavaglione
41201, Producer, Bob Last
291270, Animation, Dan Driscoll
3170, Director, Samuel Armstrong
10895, Adaptation, William Cottrell
223046, Sound Engineer, Hank Cicalo
49013, Director of Photography, Jeremy Lasky
10380, Executive Producer, Frank Marshall
230179, Producer, Will Clarke
257344, Producer, Michael Barnathan
43074, Producer, Ivan Reitman
75258, Screenplay, Tom Rogers
21724, Writer, Marlon Wayans
238713, Producer, Jenno Topping
120467, Screenplay, Wes Anderson
73686, Producer, Steffen Reuter
9331, Director, Phillip Noyce
77084, Production Design, Ted Glass
38843, Casting, Christian Kaplan
71668, Producer, Mark Canton
49047, Production Design, Andy Nicholson
19101, Production Design, Bo Welch
497, Screenplay, Frank Darabont
45864, Director of Photography, Michael G. Wojciechowski
38753, Casting, Venus Kanani
24617, Producer, Tom Vaughan
8373, Associate Producer, K.C. Hodenfield
773, Director, Valerie Faris
182, Production Design, Philip Messina
292280, Screenplay, Jonathan Penner
152747, Foley, Goro Koyama
1073, Executive Producer, Sigurjón Sighvatsson
277, Executive Producer, Terry McKay
17578, Producer, Peter Jackson
346672, Unit Production Manager, Richard S. Wright
38408, Sound Re-Recording Mixer, Ron Bartlett
10782, Casting, Patricia McCorkle
302026, Music, Kenji Kawai
34016, Producer, David B. Householter
227679, Producer, Takuro Muratsubaki
72197, Storyboard, Mike Smith
3179, Producer, John Andrews
314, Producer, Denise Di Novi
8880, Producer, Benicio del Toro
9846, Screenplay, William Friedkin
10345, Production Design, George Costello
127380, Director, Angus MacLane
100241, Executive Producer, Kevin Grevioux
157350, Director, Neil Burger
13804, Editor, Christian Wagner
27579, Producer, Anne Carey
293167, Costume Design, Mary E. Vogt
396398, Casting, Douglas Aibel
672, Director, Chris Columbus
36557, Sound Designer, Martin Cantwell
154972, Editor, Herman P. Koerts
310131, Director, Robert Eggers
11665, Director of Photography, Dean Semler
10190, Costume Design, Danny Glicker
8883, Producer, Ralph Schwingel
2289, Screenplay, Anthony Minghella
408, Screenplay, Otto Englander
62835, Costume Design, Olivier Bériot
240, Screenplay, Francis Ford Coppola
9381, Producer, Alain Goldman
335988, Writer, Steven Spielberg
1995, Editor, Mark Warner
228165, Producer, Mary Parent
398818, Costume Design, Giulia Piersanti
37430, Production Design, Chris August
62630, Supervising Sound Editor, Stefan Henrix
287424, Producer, Arnold Schwarzenegger
188927, Producer, Roberto Orci
10483, Music, Paul Haslinger
64215, Costume Design, Watsana Benchachat
157336, Editor, Lee Smith
54138, Original Music Composer, Michael Giacchino
158852, Sound Re-Recording Mixer, Juan Peralta
190955, Producer, John Lesher
12165, Director of Photography, Robert Elswit
287084, Original Music Composer, Ludwig Göransson
10057, Music, Michael Kamen
13155, Casting, Mike Fenton
11059, Producer, Wolfgang Herold
634, Director of Photography, Stuart Dryburgh
9092, Original Music Composer, John Ottman
5176, Story, Elmore Leonard
1878, Editor, Lesley Walker
9613, Executive Producer, Simon Franks
140607, Producer, Kathleen Kennedy
12547, Producer, Gary Howsam
11860, Casting, David Rubin
666, Producer, Walter Salles
1891, Casting, Terry Liebling
9008, Original Music Composer, Lisa Gerrard
313369, Boom Operator, Craig Dollinger
938, Stunt Coordinator, Benito Stefanelli
33, Director of Photography, Jack Green
9654, Casting, Sheila Jaffe
618, Music, Joseph Carl Breil
68818, Writer, Miguel Barros
152584, Editorial Staff, Sophie Brunet
63849, Original Music Composer, Gerd Baumann
13168, Producer, Gregg Araki
55562, Writer, Margarethe von Trotta
41225, Adaptation, Louis Malle
278774, Casting, Candice Elzinga
40807, Art Direction, Ross Dempster
11970, Screenplay, Ron Clements
510, Original Music Composer, Jack Nitzsche
244267, Producer, Mike Cahill
79528, Executive Producer, Abigail Disney
11210, Editor, Keith Reamer
220820, Producer, Brittany Bowen
38166, Key Grip, Christopher Tate
16687, Director, Guo Yu-Dan
9509, Executive Producer, James W. Skotchdopole
376134, Writer, Charlie McDowell
13639, Original Music Composer, Paul M. van Brugge
24021, Music Editor, Ellen Segal
11451, Director, Angela Robinson
277834, Producer, Osnat Shurer
415, Producer, Peter Macgregor-Scott
356334, Producer, Geoff Hart
7364, Original Music Composer, Clint Mansell
11774, Additional Editing, Dylan Tichenor
160139, Director of Photography, Filip Zumbrunn
1578, Production Manager, James D. Brubaker
102899, Producer, Kevin Feige
9457, Writer, Stephen Sommers
107, Director of Photography, Tim Maurice-Jones
10590, Original Music Composer, Nick Glennie-Smith
36668, Casting, Coreen Mayrs
306650, Casting, John Hubbard
122081, Original Music Composer, Cliff Martinez
11169, Production Design, Gemma Jackson
13493, Executive Producer, Raven-Symoné
8881, Director, Steven Soderbergh
13700, Producer, Alice Dewey
13205, Story, Brian Pimental
11224, Editor, Donald Halliday
16508, Animation Manager, Anthony Power
39433, Original Music Composer, Christopher Ward
251227, Line Producer, Brian Norgard
9529, Screenplay, Clive Barker
9644, Director of Photography, Peter Deming
16558, Set Decoration, George DeTitta Jr.
31546, Editor, Kate Sanford
320, Executive Producer, Steven Soderbergh
50765, Set Decoration, Deanna Simmons
48613, Director of Photography, Gianfranco Transunto
239566, Producer, Erica Huggins
9384, Executive Producer, Ben Stiller
12312, Executive Producer, Arnon Milchan
388202, Music, Ryan Franks
1985, Screenplay, Jeffrey Caine
316021, Producer, Jay Van Hoy
410988, Prosthetic Makeup Artist, Brian Spears
302150, Production Design, Tomas Voth
, Producer, Alfonso Cuarón
272693, Executive Producer, Lane Shefter Bishop
159667, Writer, Sara St. Onge
23168, Executive Producer, David Crockett
9759, Stunt Coordinator, Freddie Hice
9352, Art Direction, Jindrich Kocí
437, Original Music Composer, Norman Orenstein
9799, Special Effects Coordinator, Matt Sweeney
67660, Music Editor, Todd Bozung
51620, Set Decoration, Melinda Launspach
9501, Producer, Samuel Hadida
242512, Producer, Bradley Fuller
9532, Costume Design, Jori Woodman
23759, Original Music Composer, Ilan Eshkeri
152745, Producer, Caroline Aragon
14001, Music, Charlie Clouser
