movie_ID,Job,Name
404733, Underwater Camera, David Foquin
9387, Continuity, Francesca DeLaurentiis
87101, Wigmaker, Connie Grayson Criswell
15651, Camera Operator, Mike Simon
10012, Camera Operator, Georgia Packard
139933, Art Direction, Ian Salter
4970, First Assistant Camera, Claude Beauchamp
103, Supervising Sound Editor, Frank E. Warner
9426, Supervising Sound Editor, Wayne Griffin
8961, Production Design, Dominic Watkins
76341, Gaffer, Shaun Conway
318846, Visual Effects Supervisor, Paul Linden
341006, Boom Operator, Oscar Méndez
63112, Production Supervisor, Pierluigi Ottina
35122, Sound Re-Recording Mixer, Mark A. Rozett
9268, Property Master, Joe Olsen
284289, Producer, Robert Mitas
18, Second Unit Director of Photography, Pascal Chaumeil
338, Script Supervisor, Sandra Scheucher
16871, Visual Effects Supervisor, Jeppe N. Christensen
173897, Still Photographer, Coco Van Oppens
368031, Visual Effects Coordinator, Johanna Lange
, Compositors, Brian Sales
16617, Additional Photography, Tricia Cameron
47327, First Assistant Editor, Martin Bernfeld
300673, Music Editor, Adam Milo Smalley
194662, Art Department Coordinator, Gay Howard
55534, Gaffer, Burton Joe Kuchera
402298, Title Designer, Richard Morrison
393457, Rigging Gaffer, Chris Muchow
2321, Stunts, Michael Russo
416477, Title Designer, Aaron Becker
1541, Construction Foreman, Roger M. Janson
13154, Still Photographer, Gary Farr
10796, Costume Supervisor, Bob Morgan
72545, Set Designer, Dean Wolcott
291356, Steadicam Operator, Brian Freesh
10191, Casting, Christi Soper
10715, Sound Re-Recording Mixer, Michael Herbick
17337, Sound Re-Recording Mixer, James Hodson
35, Animation Director, Gary McCarver
9297, Costume Supervisor, Anthony Almaraz
381034, Producer, Mark Lane
10315, Animation, Jody Meredith
13053, Supervising Animator, Lino DiSalvo
2062, Producer, Brad Lewis
8392, Background Designer, Tsuyoshi Matsumuro
14836, Animation, Trey Thomas
44912, Script Supervisor, Pam Fuller
51162, Story, Nicole Mitchell
10009, Supervising Animator, Byron Howard
15947, Background Designer, Ray Huffine
214756, Visual Effects Producer, Jenny Fulle
12, Art Direction, Randy Berrett
15166, Gaffer, Juan Morse
7443, Animation, Bob Scott
9473, Animation, Fred Baxter
128, Animation, Masaru Matsuse
72105, Dialogue Editor, Curt Schulkey
10470, Sound Re-Recording Mixer, Sascha Heiny
533, Animation, Terry Brain
77174, Animation, Mike Hollenbeck
49948, Sound Designer, Gregory King
378236, Modeling, Lorena García Romero
149870, Animation, Tsutomu Kurita
