movie_ID,Job,Name
404733, Writer, Michael Brandt
9387, Sound Effects Editor, Bub Asman
87101, Characters, James Cameron
15651, Music, Mark Suozzo
10012, Music Editor, Bill Abbott
139933, Sound Mixer, Frank Gaeta
4970, Producer, Susan Downey
103, Producer, Michael Phillips
9426, Screenplay, David Cronenberg
8961, Producer, Jerry Bruckheimer
76341, Producer, Doug Mitchell
318846, Director of Photography, Barry Ackroyd
341006, Producer, James Gunn
63112, Editor, Sergio Montanari
35122, Director, Gregg Araki
9268, Screenplay, Walon Green
284289, Screenplay, Stephen Susco
18, Story, Luc Besson
338, Sound Designer, Dirk Jacob
16871, Director, Sam Raimi
173897, Writer, Paul W.S. Anderson
368031, Screenplay, Matthew Ballen
, Producer, Martin Scorsese
16617, Co-Executive Producer, Harvey Weinstein
47327, Sound Designer, Steve Boeddeker
300673, Original Music Composer, Carter Burwell
194662, Screenplay, Alexander Dinelaris
55534, Sound Re-Recording Mixer, Nigel Heath
402298, Producer, Celia Duval
393457, Screenplay, August Wilson
2321, Original Music Composer, David Byrne
416477, Producer, Barry Mendel
1541, Producer, Ridley Scott
13154, Screenplay, Caliope Brattlestreet
10796, Production Design, David L. Snyder
72545, Art Direction, Bruce Robert Hill
291356, Writer, Ti West
10191, Editor, Maryann Brandon
10715, Original Music Composer, Jerry Goldsmith
17337, ADR & Dubbing, Susan Blu
35, Producer, Matt Groening
9297, Executive Producer, Steven Spielberg
381034, Executive Producer, John McDonnell
10315, Writer, Wes Anderson
13053, Assistant Editor, John W. Wheeler
2062, Production Design, Harley Jessup
8392, Writer, Hayao Miyazaki
14836, Director of Photography, Pete Kozachik
44912, Production Design, Grant Major
51162, Sound Editor, Odin Benitez
10009, Original Music Composer, Mark Mancina
15947, Story, Ted Sears
214756, Producer, Scott Stuber
12, Original Story, Andrew Stanton
15166, Original Music Composer, Scott Glasgow
7443, Original Music Composer, Harry Gregson-Williams
9473, Background Designer, Albert Lozano
128, Editor, Hayao Miyazaki
72105, Costume Design, Debra McGuire
10470, Screenplay, Andi Feldmann
533, Producer, Nick Park
77174, Casting, Allison Jones
49948, Director, James Algar
378236, Music, Patrick Doyle
149870, Story, Hayao Miyazaki
9496, Producer, Jens Nieswand
12593, Characters, Robert Crumb
170687, Music, Dario Marianelli
98566, Executive Producer, Eric J. Crown
10539, Screenplay, Karey Kirkpatrick
16306, Adaptation, Roland Topor
41201, Editor, Sylvain Chomet
291270, Writer, Charlie Kaufman
3170, Orchestrator, Charles Wolcott
